"description","external_id","id","is_location_sensor","name"
NA,"bird-ring",397,TRUE,"Bird Ring"
NA,"gps",653,TRUE,"GPS"
NA,"radio-transmitter",673,TRUE,"Radio Transmitter"
NA,"argos-doppler-shift",82798,TRUE,"Argos Doppler Shift"
NA,"natural-mark",2365682,TRUE,"Natural Mark"
NA,"acceleration",2365683,FALSE,"Acceleration"
NA,"solar-geolocator",3886361,TRUE,"Solar Geolocator"
NA,"accessory-measurements",7842954,FALSE,"Accessory Measurements"
NA,"solar-geolocator-raw",9301403,FALSE,"Solar Geolocator Raw"
NA,"barometer",77740391,FALSE,"Barometer"
NA,"magnetometer",77740402,FALSE,"Magnetometer"
NA,"orientation",819073350,FALSE,"Orientation"
NA,"solar-geolocator-twilight",914097241,FALSE,"Solar Geolocator Twilight"
NA,"acoustic-telemetry",1239574236,TRUE,"Acoustic Telemetry"
NA,"gyroscope",1297673380,FALSE,"Gyroscope"
NA,"heart-rate",2206221896,FALSE,"Heart Rate"
NA,"sigfox-geolocation",2299894820,TRUE,"Sigfox Geolocation"
NA,"proximity",2645090675,FALSE,"Proximity"
